entry,exit
34.72,34.75
34.73,34.75
34.72,34.75
34.73,34.72
34.73,34.75
34.72,34.75
34.73,34.75
34.75,34.73
34.73,34.72
34.73,34.72
34.73,34.72
34.73,34.72
34.72,34.7
34.72,34.72
34.72,34.7
34.7,34.71
34.71,34.74
34.71,34.74
34.74,34.76
34.741,34.73
34.74,34.76
34.73,34.75
34.75,34.78
34.74,34.75
34.74,34.75
34.74,34.76
34.75,34.78
34.76,34.78
34.78,34.76
34.77,34.78
34.77,34.78
34.77,34.79
34.77,34.78
34.78,34.76
34.78,34.76
34.78,34.79
34.78,34.76
34.79,34.77
34.78,34.77
34.77,34.78
34.77,34.78
34.78,34.77
34.78,34.77
34.77,34.76
34.76,34.75
34.76,34.75
34.75,34.76
34.76,34.74
34.76,34.75
34.75,34.78
34.74,34.75
34.75,34.78
34.78,34.8
34.78,34.8
34.8,34.78
34.79,34.79
34.79,34.775
34.78,34.79
34.79,34.775
34.78,34.77
34.775,34.76
34.77,34.76
34.76,34.74
34.76,34.74
34.74,34.75
34.75,34.74
34.74,34.75
34.75,34.74
34.74,34.755
34.74,34.755
34.74,34.755
34.74,34.755
34.755,34.74
34.76,34.74
34.74,34.76
34.76,34.74
34.76,34.75
34.76,34.75
34.75,34.74
34.75,34.74
34.74,34.76
34.76,34.77
34.76,34.785
34.77,34.785
34.77,34.785
34.785,34.77
34.79,34.78
34.78,34.76
34.77,34.74
34.77,34.76
34.77,34.76
34.76,34.74
34.74,34.75
34.75,34.76
34.76,34.77
34.77,34.75
34.75,34.76
34.76,34.74
34.74,34.73
34.73,34.72
34.73,34.72
34.73,34.72
34.72,34.7
34.7,34.72
34.71,34.72
34.71,34.73
34.72,34.71
34.71,34.72
34.72,34.73
34.72,34.73
34.73,34.74
34.735,34.75
34.73,34.74
34.74,34.75
34.75,34.77
34.75,34.76
34.75,34.77
34.76,34.77
34.76,34.775
34.76,34.77
34.76,34.77
34.77,34.75
34.765,34.75
